unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
452,The Water Lily Pond,6,This painting invokes feelings of nostalgia. ,4 - Agree,4 - Agree,4 - Agree,1 - Strongly disagree,1,2,100,Bedroom,By yourself,Summer,broccoli. ,"reminds me of nostalgic music, fitting as the painting invokes that feeling. "
453,The Water Lily Pond,8,This painting makes me feel happy and excited like a hot summer day coming back from soccer practice (a childhood experience for me) with my family and getting ice Capps. There would be a light breeze to cool you down. Something that would make me cry tears of joy.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,$50-$100,"Bedroom,Living room","Friends,Family members,By yourself","Spring,Summer","Chicken breast salad. 30g of protein. Lettuce, onion, tomatoes, croutons. ","This soundtrack would be medium speed, something happy and fun. Something that reminds me of my childhood. Or a reminiscent songs like Chemtrain over the country club. "
454,The Water Lily Pond,3,Free,1 - Strongly disagree,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,1,1,50000,Bathroom,"Friends,Family members","Spring,Summer",Pasta,Summertime - cinnamons & evening cinema
455,The Water Lily Pond,4,"Positive, upbeat, reminiscent ",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,2,1,50,Dining room,"Family members,By yourself","Spring,Summer",apple,"Upbeat song, positive song, big playlist song."
456,The Water Lily Pond,2,"This painting makes me feel calm and relaxed. It feels peaceful, like a quiet moment in nature where everything slows down.",1 - Strongly disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,2,2,20,Bathroom,"Family members,By yourself","Spring,Fall",Pancake,"It would sound like soft, peaceful music, with gentle piano and light strings playing slowly in the background."
457,The Water Lily Pond,7,"peaceful, content, happy",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,10000,"Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates","Spring,Summer",chicken noodle soup,"idyllic countryside themes, quiet, flowing"
458,The Water Lily Pond,9,"Felt warm, nostalgic, pure, and romantic.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,2,1,10,Living room,Family members,Spring,Sandwich,There will be a saxophone as the melody. It is slow and romantic.
459,The Water Lily Pond,10,kind of overwhelmed. There’s a lot of intense color here. While the view looks nice to look at the painting shows it in a very intense way. ,4 - Agree,4 - Agree,2 - Disagree,4 - Agree,1,3,$5,"Bathroom,Living room","Family members,Coworkers/Classmates,Strangers",Spring,Cabbage,"Lots of wind, bird sounds, animal sounds, leaves whistling, maybe some soft drums"
460,The Water Lily Pond,8,Calm,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,500,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Burger,hip hop
461,The Water Lily Pond,9,Ethereal and happy,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,3,200,Living room,"Friends,Family members,By yourself","Spring,Summer",Sweets and desserts,Japanese
462,The Water Lily Pond,4,"It makes me feel calm, and appreciative of the beauty conveyed through the painting. It makes me feel as if I want to be in the painting itself. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,1,1,200,"Bedroom,Living room,Dining room","Friends,Family members","Spring,Summer",Salad.,There would be chimes or bells in the soundtrack. I also imagine some soft piano and a clear flute melody.
463,The Water Lily Pond,3,Appreciation for the beautiful scenery nature can provide.,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,1,80,"Living room,Dining room","Family members,By yourself",Spring,A bowl of fruit,"Heavy and impactful, like something out of a major scene in a romance movie."
464,The Water Lily Pond,7,calm,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,4,100,"Bedroom,Living room,Dining room","Family members,Strangers,By yourself",Spring,grape,birds chirping
465,The Water Lily Pond,4,"Not much of a feeling, it's very beautiful but I can't seem to get a feeling out of it.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,1,$150,"Bedroom,Living room","Friends,Family members",Spring,strawberry,"A bright melody drifts along with soft rhythms and warm harmonies, fresh air, gentle motion, and an easy, sunlit happiness that feels calm yet quietly alive."
466,The Water Lily Pond,9,This painting makes me feel happy.,1 - Strongly disagree,5 - Strongly agree,4 - Agree,3 - Neutral/Unsure,1,2,30,Living room,Friends,Spring,This would be a desert like custard,This soundtrack is also peaceful but has cheerful undertones.
467,The Water Lily Pond,5,peaceful,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,3,75,Bedroom,Friends,Spring,seaweed,Waves
468,The Water Lily Pond,10,It makes me feel calm and peaceful.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,15000,Living room,"Family members,By yourself",Spring,A salad,A melodic classical music soundtrack with an emphasis on pianos and violins. The music would be calm and joyful. 
469,The Water Lily Pond,8,energetic,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,1 - Strongly disagree,1,2,400,Living room,"Friends,Family members",Spring,watermelon,harmonic
470,The Water Lily Pond,7,Peaceful,1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,1,1,100,"Bedroom,Living room",Friends,Spring,Salad,Piano
471,The Water Lily Pond,7,"It made me feel sort of happy as I like looking at pictures with greenery, I would definitely want to go where ever that picture is taken",1 - Strongly disagree,4 - Agree,5 - Strongly agree,3 - Neutral/Unsure,2,1,30,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Raspberry,It would be a piano soundtrack very relaxing
472,The Water Lily Pond,8,This painting makes me feel nostalgic for summer and gives me positive energy. It makes me feel happy when I look at it.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,$40,"Bathroom,Office,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Pizza,"It would be a very calming soundtrack with soft nature like sounds, similar to birds and flowing water. It would feel emotional and deep, but overall peaceful and soothing to listen to."
473,The Water Lily Pond,7,This painting makes me feel calm.,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,1,$500,"Bathroom,Living room","Friends,Family members","Spring,Summer",Lettuce,"A soundtrack full of woodwind-type instruments, all harmonizing together to form a feeling of calm and peace."
474,The Water Lily Pond,1,Lively and calm. Feeling easy and happy.,1 - Strongly disagree,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,4,5,$50,"Bathroom,Living room,Dining room",Family members,Summer,Salad.,Be lively and energetic. The world is peaceful and beautiful. Always be happy.
475,The Water Lily Pond,5,calm,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,6,5,0,"Living room,Dining room",By yourself,Spring,cake,happy sound
476,The Water Lily Pond,4,"at rest, nostalgic, peaceful, quiet",5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,6,3,$100 000,"Bedroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",ramen,"nostalgic, strongly instrumental, strong use of piano, legato, hidden, post-war, strong use of guitar"
477,The Water Lily Pond,10,This painting makes me feel at ease and very peaceful. It's also very uplifting and makes you want to go for a walk and appreciate the environment. ,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,2000,"Living room,Dining room","Family members,By yourself","Spring,Summer",Cupcake,A classical soundtrack that's very light and very cheery. A lot of ballet and piano sounds. 
478,The Water Lily Pond,8,This painting makes me feel very happy and calm and makes me feel gratitude for the life I live and the beauty of our world. ,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,2,$450,"Bedroom,Living room","Friends,Family members",Spring,"A platter of in-season, vibrant fruit. ",Super calm and peaceful melodies with soft background music that flows and makes you feel relaxed and content.
479,The Water Lily Pond,5,Somewhat joyful. ,1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,3,1,"Probably 99 dollars, ignoring its secondary market value. ",Living room,By yourself,Spring,"Fresh wet greens, like lettuce.","Quiet but joyous, with backing tracks that have birds chirping. "
480,The Water Lily Pond,5,It has a beautiful scenery with alot of detail,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,1,2,0,Dining room,"Family members,By yourself",Spring,bread,I would imagine hearing birds chirping and the sound of the river flowing.
481,The Water Lily Pond,9,A sense of calm and happiness. Very beautiful,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,"$2,000",Bedroom,"Friends,Family members,By yourself",Spring,A fresh garden salad,something colourful and happy.
482,The Water Lily Pond,5,It makes me feel content and calm,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,4,275,"Bedroom,Office","Friends,Family members",Spring,It would be a cucumber salad,It would be happy and upbeat
483,The Water Lily Pond,8,joyous,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,90,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Salad,a whimsical wosh with a bright flute
484,The Water Lily Pond,4,calm,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,1,300,"Bedroom,Office,Dining room",By yourself,"Spring,Summer",warm bread,"wind focused with flutes, slow paced"
485,The Water Lily Pond,8,Makes me feel like a young kid running through a field,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,1,2,300,"Bedroom,Living room","Friends,Family members,By yourself","Spring,Summer",A grilled cheese,Just an acoustic guitar
486,The Water Lily Pond,2,Positive. Hopeful. Curious. Beauty. Running water. stream. sound. motion. ,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,2,2,200,"Bedroom,Office",By yourself,"Spring,Summer",broccoli almond Soup. ,"cheerful, bright, and hopeful. kalimba or xylophone upbeat. nostalgic. "
487,The Water Lily Pond,8,"The painting makes me feel cheerful. It makes me feel nostalgic and happy in some way. Reminds me of brighter things, and happy moments in my life looking at this. Possibly even makes me ponder of a vibrant future. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,4,"$1,000",Bathroom,Friends,Spring,"A strawberry is what this painting reminds me of. Something that is vibrant, colorful and cheerful. Something that reminds you that better moments are coming soon and also reminds you of good times in the past. Helps you realize how even small things are beautiful and you may miss beauty in the small things and moments. ","A soundtrack for this painting would be vibrant, something with various chords playing, a burst of emotion to you. Sounds vibrant, cheerful, and also makes you feel hopeful. Such a soundtrack I would assume would use the piano but using the high notes. The soundtrack would also bring a sense of calmness alongside the joyous feeling as well. "
488,The Water Lily Pond,9,"happy, inspired, good, bubbly, curious, active, pretty, fairytale, dreamy",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,3,500,"Bedroom,Office,Living room","Friends,Family members,By yourself","Spring,Summer",salad or sandwich,"piano, strings in a upbeat track like the ""sunshine lollipop soundtrack"""
489,The Water Lily Pond,3,It makes me feel happy and content.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,3,15,"Bedroom,Office,Living room,Dining room","Friends,Family members","Spring,Summer",Wheatgrass protein shake.,A soft harp piece along with a person humming a simple tune.
490,The Water Lily Pond,6,This painting makes me feel happy. The warm tones and setting are very pleasing to the eye. ,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,10,2,$100-$150CAD ,"Bedroom,Bathroom,Living room","Friends,Family members","Spring,Summer",Salad. Both the colours and the coolness of the painting make me feel this way. ,"Smooth jazz, with light female vocals. "
491,The Water Lily Pond,5,calm/ serene/ tranquil,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,4,$20 CAD,"Bedroom,Office,Living room","Friends,Family members,By yourself","Spring,Summer",Any dish with steak as the centre of attention.,"nature sounds, specifically, water flowing, water splashing, occasional frog croak."
492,The Water Lily Pond,9,tranquil,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,2,1,2 million,"Bathroom,Office,Dining room","Friends,Family members","Spring,Summer",steamed beans,The Jolly Green Giant - The Kingsmen
493,The Water Lily Pond,2,neutral,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,1,1,0,"Office,Living room","Friends,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",a salad,a soundtrack with lots of wind instruments like a flute
494,The Water Lily Pond,5,"Pleasant since it showcases the beauty of spring during daytime, and lots of green and nature, and water as well.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,3,"That depends, if I were a billionaire, probably 100 million, but because I'm not, probably $5000 max since I know how valuable this painting is. Otherwise, if this painting wasn't valuable, max $700.","Bedroom,Living room","Friends,Family members,By yourself",Spring,Matcha Panna Cotta,"Probably something bright but calm, maybe some nature sounds, slightly magical"
495,The Water Lily Pond,4,"Cleansed, sweet, relaxed. ",2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,2,3,3000,Living room,Family members,Spring,Cherry pie. ,Light notes with bell like tinkle and bird chirping.
496,The Water Lily Pond,7,"alive, tranquil, meditative",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,1,1,30,Dining room,Family members,Spring,salad,"fast, energetic, flowing"
497,The Water Lily Pond,9,"Joyful, nostalgic, happy.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,4,10000000,"Bedroom,Office,Living room,Dining room","Family members,By yourself",Spring,An eclair.,Swan from Saint Saens' Carnival of Animals
498,The Water Lily Pond,7,lost,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,1,2,30,"Office,Living room","Friends,Family members","Spring,Summer",salad,birds chirping summer sound
